published_date,type,title,url,view_count,like_count,comment_count,guest_name,party,affiliation_wing,prominence,guest_style,topics,topic_wing,topic_treatment,stance,bias_category,framing_score,vader_title,vader_desc,vader_composite,guest_episodes,guest_median_views,guest_influence_tier,prominence_label,manual_review
2022-08-14,livestream,Matt Walsh: What They Are Doing to Kids is Barbaric,https://www.youtube.com/watch?v=J1uIVfR93hE,300705,13905,2260,Matt Walsh,Anti-trans,right,4.0,,trans_and_gender|trump_and_us_politics|culture_war_general,right,sympathetic_to_right,unknown,right_affiliated_unknown,0.5,0.0,0.0,0.0,2,176978.5,medium,Cabinet/Platform,
2022-08-17,livestream,"Sam Harris: Trump, Religion, Wokeness",https://www.youtube.com/watch?v=DDqtFS_Pvcs,598936,13918,16619,Sam Harris,Heterodox,contested,3.0,heterodox,woke_and_cancel_culture|islam_and_extremism|trump_and_us_politics,right,sympathetic_to_right,unknown,contested_affiliated_unknown,3.5,0.0,0.2023,0.06069,5,345400.0,medium,Senior/Established,
2022-08-21,livestream,"Coleman Hughes: ""BLM Moment Led to Racist Policies""",https://www.youtube.com/watch?v=mpxxBCCQaks,152026,7862,1249,Coleman Hughes,,,,,crime_and_policing,unknown,unknown,unknown,unclassified,0.0,-0.6124,0.0,-0.42868,1,152026.0,medium,,
2022-08-24,livestream,Arrested for a Meme - Harry Miller,https://www.youtube.com/watch?v=yh9wYKACR0c,219283,9532,2210,Harry Miller,,,,,free_speech_and_censorship|crime_and_policing,right,unknown,unknown,unclassified,0.0,-0.4767,0.0,-0.4767,1,219283.0,medium,,
2022-08-28,livestream,Comedian Discriminated Against for Being White - Tyler Fischer,https://www.youtube.com/watch?v=HIvGONIYEgA,365781,11734,2508,Tyler Fischer,,,,,covid_and_pandemic|free_speech_and_censorship,right,sympathetic_to_right,endorsing,right_topic_sympathetic,1.0,0.3818,0.6808,0.4714999999999999,2,296494.0,medium,,
2022-08-31,livestream,"Bill Burr: ""The Internet is an Abusive Relationship""",https://www.youtube.com/watch?v=Rk_q9eixKo4,413002,13322,1961,Bill Burr,,,,,free_speech_and_censorship,right,unknown,unknown,unclassified,0.0,-0.6369,0.0,-0.6369,1,413002.0,medium,,
2022-09-04,livestream,Exposing China's Murder for Organs Industry with Jan Jekielek,https://www.youtube.com/watch?v=rR9V5u81xo4,50053,2922,466,Jan Jekielek,,,,,russia_ukraine_geopolitics,contested,unknown,unknown,unclassified,0.0,-0.7783,0.0,-0.7783,1,50053.0,low,,
2022-09-06,video,"Bill Burr On Patrice O'Neal ""I Still Have Arguments With Him""",https://www.youtube.com/watch?v=B-hZMfz8inw,993183,16490,1375,Him,,,,,free_speech_and_censorship,right,unknown,unknown,unclassified,0.0,-0.4019,0.0,-0.4019,1,993183.0,high,,
2022-09-07,livestream,"Andrew Doyle: ""Vote Left or Right, You Still Get Woke Politics""",https://www.youtube.com/watch?v=XMm3vgIWbGk,132364,6788,1008,Andrew Doyle,Right-wing commentator,right,3.0,,trans_and_gender|woke_and_cancel_culture|free_speech_and_censorship|trump_and_us_politics|uk_politics,right,sympathetic_to_right,unknown,right_affiliated_unknown,3.5,0.0,0.0,0.0,19,58006.0,low,Senior/Established,
2022-09-11,livestream,"""The Conservatives Are Imploding"" - Matt Goodwin",https://www.youtube.com/watch?v=Ulvl-30scUA,94368,3015,845,Matt Goodwin,Right-wing commentator,right,3.0,,uk_politics|economy_and_cost_of_living,contested,unknown,endorsing,right_affiliated_endorsing,0.0,0.0,0.0,0.0,7,77230.0,low,Senior/Established,
2022-09-14,livestream,"""PayPal Banned Me for Stating Basic Biology"" - Colin Wright",https://www.youtube.com/watch?v=pepLGzBTb0w,138196,7030,1834,Colin Wright,Gender essentialist anti-trans,right,3.0,,trans_and_gender|woke_and_cancel_culture|free_speech_and_censorship|culture_war_general,right,sympathetic_to_right,unknown,right_affiliated_unknown,2.5,-0.4588,0.0,-0.4588,2,139606.0,low,Senior/Established,
2022-09-18,livestream,Is Ukraine Winning? - Tom Cooper,https://www.youtube.com/watch?v=DNX1vcDx7mg,66816,2400,713,Tom Cooper,,,,,russia_ukraine_geopolitics,contested,unknown,unknown,unclassified,0.0,0.5267,0.0,0.5267,1,66816.0,low,,
2022-09-21,livestream,Theo Von: I Used Comedy to Change My Life,https://www.youtube.com/watch?v=bkUkHU17baU,780191,20341,2735,Theo Von,,,,,free_speech_and_censorship|culture_war_general,right,unknown,unknown,unclassified,0.0,0.3612,0.3818,0.36738,1,780191.0,high,,
2022-09-25,livestream,"""Women Have Been Scammed"" - Esther Krakue",https://www.youtube.com/watch?v=reOb89vIebk,117189,5762,1271,Esther Krakue,,,,,,unknown,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,117189.0,low,,
2022-09-28,livestream,"Lord David Frost: ""The Budget Was Absolutely the Right Thing to Do""",https://www.youtube.com/watch?v=VuTqFWOP2Ps,60214,2036,787,Lord David Frost,,,,,uk_politics|climate_and_environment|culture_war_general,right,unknown,unknown,unclassified,0.0,0.0,0.0,0.0,1,60214.0,low,,
2022-10-02,livestream,"Adam Carolla: ""I Can't Wait to Leave California""",https://www.youtube.com/watch?v=3sS-cDUWnL0,225840,6190,917,Adam Carolla,Right-wing commentator,right,3.0,,woke_and_cancel_culture|free_speech_and_censorship,right,sympathetic_to_right,unknown,right_affiliated_unknown,1.0,0.0382,0.0,0.0382,4,128267.5,low,Senior/Established,
2022-10-05,livestream,"""The System is Rigged Against the Poor"" - Darren McGarvey",https://www.youtube.com/watch?v=0oBOLLVmW74,44219,1788,587,Darren McGarvey,,,,,uk_politics,contested,unknown,unknown,unclassified,0.0,-0.6808,0.0,-0.6808,1,44219.0,low,,
2022-10-09,livestream,“We need to stop relying on the government to solve our problems” - Shaun Bailey,https://www.youtube.com/watch?v=R-QXLZO7esE,42411,2148,544,Shaun Bailey,,,,,uk_politics|russia_ukraine_geopolitics|crime_and_policing,contested,right_framing,unknown,contested_right_framing,0.5,-0.1027,0.0,-0.1027,1,42411.0,low,,
