published_date,title,url,topics,n_topics,framing_score,tags_framing_score,guest_signal,identity_signal,guest_name_detected,guest_style,combined_score,combined_label,signal_sources,confidence,label_stage4b,label_stage5,label_stage6,cumulative_bias_score,score_lexicon,score_tags,score_guest_talkingpoints,score_guest_identity,combined_label_with_manual,manual_override_applied,manual_override_note
2019-11-08,Laurence Fox on Hollywood in the #MeToo Era,https://www.youtube.com/watch?v=Kp1cH2kjSpc,,0,0.0,0.0,1.0,1.0,Laurence Fox,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2019-11-10,"Laurence Fox: ""They Seek to Murder Your Opinion""",https://www.youtube.com/watch?v=rXgvv6EXfc0,,0,0.0,0.0,1.0,1.0,Laurence Fox,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2019-11-15,"Posie Parker: ""Trans Women Are Men""",https://www.youtube.com/watch?v=JN6PUvMUWoc,trans_and_gender|culture_war_general,2,1.5,0.5,1.0,1.0,Posie Parker,,2.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,3.5,1.0,0.5,1.0,1.0,right-leaning,False,
2019-11-17,"""Trans Women Aren't Women"" - Posie Parker",https://www.youtube.com/watch?v=Pdpc2r4cBxQ,trans_and_gender|culture_war_general,2,2.5,0.5,1.0,1.0,Posie Parker,,3.5,right-leaning,lexicon|tags|guest,high,right-leaning,right-leaning,right-leaning,4.5,2.0,0.5,1.0,1.0,right-leaning,False,
2019-11-21,Social Justice is Dangerous,https://www.youtube.com/watch?v=AU345GbpkeI,woke_and_cancel_culture,1,2.5,1.5,0.0,0.0,,,2.5,right-leaning,lexicon|tags,high,right-leaning,right-leaning,right-leaning,2.5,1.0,1.5,0.0,0.0,right-leaning,False,
2019-11-24,"James Lindsay and Peter Boghossian: ""Social Justice is a Mind Virus""",https://www.youtube.com/watch?v=n9pl2eP7X7w,woke_and_cancel_culture,1,1.5,0.5,0.0,0.0,,,1.5,right-leaning,lexicon|tags,high,right-leaning,right-leaning,right-leaning,1.5,1.0,0.5,0.0,0.0,right-leaning,False,
2019-11-28,Lord Andrew Adonis: “We Didn’t Know What We Were Voting For With Brexit”,https://www.youtube.com/watch?v=WGpEyycF2oA,uk_politics,1,0.0,0.0,0.0,0.0,Lord Andrew Adonis,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-12-01,"Lord Andrew Adonis: ""No Deal Brexit is a Fraud""",https://www.youtube.com/watch?v=HAlp0f0MwVk,uk_politics,1,0.0,0.0,0.0,0.0,Lord Andrew Adonis,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-12-05,"Melanie Phillips: ""The Left is Fundamentally Racist""",https://www.youtube.com/watch?v=svDCo75mN7M,israel_and_middle_east|culture_war_general,2,2.0,0.0,1.0,1.0,Melanie Phillips,,3.0,right-leaning,lexicon|guest,high,right-leaning,right-leaning,right-leaning,4.0,2.0,0.0,1.0,1.0,right-leaning,False,
2019-12-08,"Melanie Phillips: ""The Left is Racist""",https://www.youtube.com/watch?v=Aq4suTStoxE,israel_and_middle_east|culture_war_general,2,2.0,0.0,1.0,1.0,Melanie Phillips,,3.0,right-leaning,lexicon|guest,high,right-leaning,right-leaning,right-leaning,4.0,2.0,0.0,1.0,1.0,right-leaning,False,
2019-12-12,"Rose of Dawn: ""Trans Women Aren't Allowed to Disagree with Trans Activists""",https://www.youtube.com/watch?v=J4SJIKGsqlc,trans_and_gender|culture_war_general,2,2.0,0.0,0.0,0.0,Rose of Dawn,,2.0,right-leaning,lexicon,medium,right-leaning,right-leaning,right-leaning,2.0,2.0,0.0,0.0,0.0,right-leaning,False,
2019-12-12,Comedian destroys Prince Andrew,https://www.youtube.com/watch?v=HS9GYNFW_s8,free_speech_and_censorship,1,1.0,0.0,0.0,0.0,,,1.0,right-leaning,lexicon,medium,right-leaning,right-leaning,right-leaning,1.0,1.0,0.0,0.0,0.0,right-leaning,False,
2019-12-15,Rose of Dawn: Trans Activists Don't Speak for Me,https://www.youtube.com/watch?v=ak8v1LxdavY,trans_and_gender|culture_war_general,2,1.0,1.0,0.0,0.0,Rose of Dawn,,1.0,right-leaning,tags,medium,right-leaning,right-leaning,right-leaning,1.0,0.0,1.0,0.0,0.0,right-leaning,False,
2019-12-22,Matthew Goodwin: Why Labour Lost the Election,https://www.youtube.com/watch?v=3kf1YKeq7lA,uk_politics,1,0.0,0.0,1.0,1.0,Matthew Goodwin,,1.0,right-leaning,guest,medium,right-leaning,right-leaning,right-leaning,2.0,0.0,0.0,1.0,1.0,right-leaning,False,
2019-12-28,Nimco Ali: British Africans Love Boris Johnson,https://www.youtube.com/watch?v=prw9T_D_KdA,uk_politics|culture_war_general,2,0.0,0.0,0.0,0.0,Nimco Ali,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2019-12-29,Nimco Ali on Being the Chief Fanny Defender and Woke Racism,https://www.youtube.com/watch?v=_4a4jqBF7gg,woke_and_cancel_culture,1,1.0,0.0,0.0,0.0,Nimco Ali,,1.0,right-leaning,lexicon,medium,right-leaning,right-leaning,right-leaning,1.0,1.0,0.0,0.0,0.0,right-leaning,False,
2020-01-01,Former teacher Francis Foster experiences flashback of working in an inner London school.,https://www.youtube.com/watch?v=2DHAnZHlwEM,,0,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2020-01-02,Hong Kong Police Brutalise Regular Citizens,https://www.youtube.com/watch?v=w9xp6PDqDYE,crime_and_policing,1,0.0,0.0,0.0,0.0,,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
2020-01-05,Emily Molli: Independent Journalism and the Hong Kong Protests,https://www.youtube.com/watch?v=bwuq9VgHQ88,crime_and_policing,1,0.0,0.0,0.0,0.0,Emily Molli,,0.0,unknown,,none,unknown,unknown,unknown,0.0,0.0,0.0,0.0,0.0,unknown,False,
