guest_name,episode_count,sample_title,guest_style
Resilience,1,Resilience: Unmissable Stories of Courage with James Chiavarini,
Remi Adekoya,1,"Remi Adekoya on Black Identity Politics, Racism, White Privilege & Populism",
Reality,1,The West’s Struggle With Reality,
Rafe Heydel-Mankoo,1,"""They're Lying About Your History"" - Rafe Heydel-Mankoo",
Project Veritas,1,"Project Veritas: ""We Expose Corruption, Lies and Abuse""",
Professor Sir Simon Baron-Cohen,1,The World's Leading Autism Expert - Professor Sir Simon Baron-Cohen,
Professor Simon Baron-Cohen,1,“Vaccines do not cause autism.” - Professor Simon Baron-Cohen,
Russell Peters,1,Russell Peters: My Story,
SPICY DEBATE,1,SPICY DEBATE: Capital Punishment - For vs Against,
Steven Edginton,1,How Wokeness is Destroying the British Army - Steven Edginton,
Saifdean Ammous,1,Money & Crypto for Dummies with Saifdean Ammous,
Steven Belmain,1,"""Will Rats Cause the Next Pandemic?"" - Steven Belmain",
Stephen Hicks,1,The Truth About the Nazis with Stephen Hicks,
Stephen Blackwood,1,Why We Have a Crisis of Meaning - Stephen Blackwood,
Social Psychologist Jonathan Haidt,1,We're Heading for Civilisational Collapse - Social Psychologist Jonathan Haidt,
Simon Kuper,1,Hero or Traitor: The Story of George Blake with Simon Kuper,
Simon Jordan,1,Does Politics Belong in Sport? - Simon Jordan,
Simon Jenkins,1,"""It's Not As Bad As You Think"" - Simon Jenkins",
Shaun Bailey,1,“We need to stop relying on the government to solve our problems” - Shaun Bailey,
Shabnam Nasimi,1,Afghanistan Crisis Explained with Shabnam Nasimi,
Seth Dillon,1,Babylon Bee CEO: Mocking the Woke Left and Woke Right - Seth Dillon,
Seerut Chawla,1,"""Safety Culture is Hurting Us"" - Seerut Chawla",
Scott Capurro,1,"Scott Capurro on Comedy, Offence and Politics in 2018",
Samuel Andreyev,1,Making Music in a Woke World - Samuel Andreyev,
Samantha Smith,1,Grooming Gangs Are Still a Problem - Samantha Smith,
Sam Harris Vs Eric Weinstein,1,Sam Harris Vs Eric Weinstein: Israel-Palestine,heterodox
Sam Bowman,1,"Sam Bowman on Libertarianism, Neoliberalism, the Housing Crisis & Drugs",
Sall Grover,1,Female-Only App Creator SUED - Sall Grover,
Josh Szeps,1,Inside the Bubble of Public Broadcasting - Josh Szeps,
James Sexton,1,How Not To Ruin Your Marriage - World's Leading Divorce Expert - James Sexton,
Jordan Hall,1,"""Politics is an Addiction"" - Jordan Hall",
Dr Lawrence Newport,1,I Proved The Police Don't Investigate Crime - Dr Lawrence Newport,
Dan Jones,1,The Truth about the Crusades - Dan Jones,
Coronavirus Expert,1,"Coronavirus Expert: ""The NHS will be OVERWHELMED""",
Controversial Blogger,1,Controversial Blogger: Why Bad Ideas Succeed,
Connor Tomlinson,1,Why Young Men Feel Lost - Connor Tomlinson,
Comedian Steve Hughes,1,"""So What If You're Offended? Nothing Happens"" - Comedian Steve Hughes",
Comedian Simon Evans,1,I Couldn't Believe Who My REAL Dad Was - Comedian Simon Evans,
Combat Veteran Kelsi Sheren,1,The Truth About War with Combat Veteran Kelsi Sheren,
Coleman Hughes,1,"Coleman Hughes: ""BLM Moment Led to Racist Policies""",
Climate Change,1,Climate Change: Propaganda vs. Reality with Mallen Baker,
Clifton Duncan,1,"""Hollywood Must Stop Lecturing Ordinary People"" - Clifton Duncan",
Claire Lehmann,1,“Activism Has No Place in Journalism” - Claire Lehmann,
Christopher Snowdon,1,Christopher Snowdon: The War on Drugs Has Failed,
Christina Buttons,1,The Truth About Trans Medicine - Christina Buttons,
Chris Williamson,1,Chris Williamson: Positive Masculinity,
Chris Shelton,1,"Cults, Scientology, Wokeness with Chris Shelton",
Chris Donaldson,1,"UK Policing Is Broken, This Is How to Fix It - Chris Donaldson",
Chloe Westley,1,"Chloe Westley on Tax, Brexit & Socialism",
Dan Snow,1,The True History of England with Dan Snow,
Dapper Laughs,1,Being Cancelled Made Me Confront and Beat Addiction - Dapper Laughs,
Darren McGarvey,1,"""The System is Rigged Against the Poor"" - Darren McGarvey",
Douglas Murray Speech,1,Douglas Murray Speech: We're Dealing with a Death Cult...,
Dr Karlyn Borysenko,1,"""Anti-Racism Training Doesn't Work"" - Dr Karlyn Borysenko",
Dr John Wyatt,1,How to Die Well - Dr John Wyatt,
Dr John Gray,1,Dr John Gray: How to Save Your Relationship During Coronavirus Lockdown,
Dr Joanna Williams,1,"Dr Joanna Williams on Feminism, #MeToo & the Gender Pay Gap",
